"yr" "seas" "gender" "growpattern" "birthseas" "fleet" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25"
"48" 48 1 1 1 1 1 0.0311902 0.278348358529129 1.19302591407474 2.73181954056214 4.70319515553652 6.91136819947072 9.15193508327262 11.3618363897043 13.3403195907815 15.3762188273629 16.8256636612893 18.1694132873603 19.5091894513415 20.3093796224013 NA 21.4189655539161 22.7529153747051 23.8928332212206 23.3703881436629 23.9289502120323 23.5350133457369 NA NA 25.3168743058328 NA 25.3218764826188
"49" 49 1 1 1 1 1 0.0311902 0.268150222745299 1.18578220050733 2.74228294352187 4.70698522063398 6.85541418799261 9.16995970088876 11.3490147503501 13.3880197505964 15.0898937605509 16.7731922133121 18.1146385611571 19.4151060300194 20.2819017785 21.8378268360346 20.9352953309336 23.0511527011067 23.9874684802489 23.968523045369 23.5729528607289 24.8474910461725 NA 24.4857483416975 NA 25.8647129331394 24.9360623010539
"50" 50 1 1 1 1 1 0.0311902 0.270009762614975 1.18930625884749 2.72436206904775 4.72480873762428 6.85104544901926 9.17011211615687 11.3689425245181 13.5680517538453 15.1662445170567 16.6865034731279 17.9497148710321 19.6188555564904 20.7534684201577 21.2809343626201 22.0944806711743 NA 23.1303522787516 23.9739528571019 24.1516956953317 NA 25.187304825249 NA 24.1259662978711 NA NA
"51" 51 1 1 1 1 1 0.0311902 0.265815333207902 1.18158684679269 2.72196381346017 4.70559267367827 6.89497301365822 9.10982055557319 11.3147227477241 13.3346285381367 15.194168614729 16.6846324841001 18.3309651905455 19.4741254940021 20.7276109124402 21.0461282777179 22.0369596371703 22.7374348466513 22.2732085606357 NA 24.8491835486037 NA 24.9095474051906 23.881828270662 NA NA NA
"52" 52 1 1 1 1 1 0.0311902 0.274050655252741 1.18248547131363 2.73089621224564 4.6990015152123 6.93054386461672 9.21948646362675 11.3520728362767 13.3877222695921 15.2132447200687 16.652076534243 18.1652108839958 19.6723909921684 20.5503451871926 21.5735068470443 NA 23.1566492210627 24.1500188683404 22.5901300325929 NA NA NA NA NA 24.7328208105223 24.5990113855792
"53" 53 1 1 1 1 1 0.0311902 0.269960163417961 1.18952560250682 2.71238441587325 4.67216478687236 6.95628102037596 9.18882457377292 11.3777517040107 13.3630283845535 15.0735985678774 16.9144329206117 18.3544103735445 19.8893378800016 20.7676554996282 21.2944745498095 21.6013149250867 21.7174112231074 22.3527378460333 23.4541416887564 24.3992154312972 NA 24.5553977529766 25.6815545835324 NA NA 26.7447990643534
"54" 54 1 1 1 1 1 0.0311902 0.271863679538482 1.18424617400793 2.7199882556473 4.65360071148625 6.87796321095381 9.08386571551007 11.3399960839873 13.2839243266184 15.3625457792669 16.8727314846719 18.171875036838 19.2661311276482 20.8999875640684 21.3522410853955 NA 22.5997986966558 23.3406488648989 23.640736532727 NA 24.8226542555134 NA NA NA NA NA
"55" 55 1 1 1 1 1 0.0311902 0.256633700145036 1.18863410173498 2.72887925412573 4.71087260080508 6.92288464306618 9.09771235270071 11.3295908588969 13.3920661242995 15.2778057911759 16.8753960666557 18.2085957196318 19.6349132714214 20.6232126695113 21.410863188886 NA 22.786609028835 21.5387742916262 NA 24.0954329067587 25.0343863236836 NA 23.9762768552713 25.2498190488672 NA NA
"56" 56 1 1 1 1 1 0.0311902 0.270714144664605 1.20287024754896 2.73054676656183 4.71986854754237 6.88969700720547 9.1356099795344 11.2947440236523 13.4413490491037 15.1093409198787 16.9670481099126 18.3619531845599 19.4350690304845 20.420366360344 21.2470645682274 21.9058645859677 22.4741642741286 22.9057778018882 23.7428957269281 NA NA 25.4893256321473 25.3803142134471 NA 25.3466077562333 24.4648420891884
"57" 57 1 1 1 1 1 0.0311902 0.274077699909537 1.19618475508632 2.72464860552154 4.70574463776637 6.92205884798663 9.13557087085812 11.398741587422 13.3425600193035 15.2568467905507 16.8935576755488 18.3471894247242 19.6434859466087 20.4335191582096 21.6533011758433 21.8249749700793 22.2966510864078 23.900872223872 23.8821303157081 23.9251607947993 24.1740213268229 23.5918739687462 NA NA NA NA
